"district_id","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16"
1,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100.0,12541,0.0,0.0,167,85677,99107
2,"Benesov","central Bohemia",88884,80,26,6,2,5,46.0,8507,1.0,1.0,132,2159,2674
3,"Beroun","central Bohemia",75232,55,26,4,1,5,41.0,8980,1.0,2.0,111,2824,2813
4,"Kladno","central Bohemia",149893,63,29,6,2,6,67.0,9753,4.0,5.0,109,5244,5892
5,"Kolin","central Bohemia",95616,65,30,4,1,6,51.0,9307,3.0,4.0,118,2616,3040
6,"Kutna Hora","central Bohemia",77963,60,23,4,2,4,51.0,8546,2.0,4.0,126,2640,3120
7,"Melnik","central Bohemia",94725,38,28,1,3,6,63.0,9920,2.0,2.0,130,4289,4846
8,"Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,69.0,11277,1.0,1.0,127,5179,4987
9,"Nymburk","central Bohemia",81344,61,23,4,2,6,55.0,8899,3.0,3.0,149,2987,2487
10,"Praha - vychod","central Bohemia",92084,55,29,4,3,5,46.0,10124,0.0,0.0,141,3810,4316
11,"Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.0,9622,0.0,0.0,154,3475,3529
12,"Pribram","central Bohemia",107870,84,29,6,1,6,58.0,8754,3.0,4.0,137,3804,3868
13,"Rakovnik","central Bohemia",53921,61,22,1,1,2,41.0,8598,2.0,3.0,123,1597,1875
14,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.0,10045,1.0,1.0,135,6604,6295
15,"Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.0,9045,3.0,3.0,124,1845,1879
16,"Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.0,8427,1.0,1.0,107,1874,1913
17,"Pelhrimov","south Bohemia",74062,99,15,4,2,7,61.0,8114,2.0,2.0,119,1003,1181
18,"Pisek","south Bohemia",70699,60,13,2,1,4,65.0,8968,2.0,3.0,131,1740,1910
19,"Prachatice","south Bohemia",51428,50,11,3,1,4,52.0,8402,3.0,3.0,120,999,1099
20,"Strakonice","south Bohemia",70646,94,14,3,1,4,58.0,8547,2.0,3.0,120,1563,1542
21,"Tabor","south Bohemia",103347,87,16,7,1,7,67.0,9104,1.0,2.0,123,2299,2354
22,"Domazlice","west Bohemia",58400,65,16,4,1,6,52.0,8620,1.0,1.0,100,1089,1117
23,"Cheb","west Bohemia",87419,21,11,4,3,9,85.0,8624,1.0,2.0,102,2879,3198
24,"Karlovy Vary","west Bohemia",122603,25,21,6,2,8,80.0,8991,1.0,2.0,128,5198,5273
25,"Klatovy","west Bohemia",88757,60,33,3,2,10,61.0,8554,2.0,2.0,113,1822,2218
26,"Plzen - mesto","west Bohemia",170449,0,0,0,1,1,100.0,10787,2.0,3.0,131,6041,6261
27,"Plzen - jih","west Bohemia",67298,71,19,10,0,7,43.0,8561,0.0,1.0,110,1029,1127
28,"Plzen - sever","west Bohemia",72541,66,26,10,0,8,36.0,8594,1.0,2.0,112,1580,1525
29,"Rokycany","west Bohemia",45714,52,10,5,1,6,55.0,8843,2.0,3.0,113,818,888
30,"Sokolov","west Bohemia",94812,15,13,8,2,10,81.0,9650,3.0,3.0,100,2985,2804
31,"Tachov","west Bohemia",51313,34,12,3,1,4,59.0,8930,3.0,4.0,108,1328,1452
32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81.0,9272,2.0,3.0,118,4340,4505
33,"Decin","north Bohemia",133777,24,17,7,3,11,84.0,8705,5.0,7.0,116,4650,4859
34,"Chomutov","north Bohemia",125236,28,11,1,4,5,87.0,9675,6.0,7.0,100,5323,5190
35,"Jablonec n. Nisou","north Bohemia",88768,10,18,5,1,7,80.0,8867,1.0,1.0,130,3384,3620
36,"Liberec","north Bohemia",159617,29,19,8,1,9,85.0,9198,3.0,4.0,131,5796,6132
37,"Litomerice","north Bohemia",114006,71,26,6,2,9,62.0,9065,4.0,5.0,123,4147,4166
38,"Louny","north Bohemia",85852,41,23,4,2,4,59.0,8965,7.0,8.0,104,2653,2822
39,"Most","north Bohemia",119895,17,4,3,2,4,89.0,10446,7.0,9.0,90,4947,4743
40,"Teplice","north Bohemia",128118,9,16,6,3,8,85.0,9317,6.0,7.0,97,6949,6872
41,"Usti nad Labem","north Bohemia",118650,8,8,5,1,3,85.0,9832,3.0,4.0,114,6445,5471
